Task,Screen,Object,Interactive,InteractiveFirst,InteractiveLast,NonInteractive,NonInteractiveFirst,NonInteractiveLast
1,HOME,header-star-icon,,,,6,,
1,HOME,header-search-field,3,3,2,6,4,
1,HOME,nav-new-collections-link,,,,2,,
1,HOME,nav-tshirts-link,36,31,36,42,26,40
1,HOME,header-discounts-link,1,1,1,,,
1,HOME,ad-banner,1,1,,3,2,
1,HOME,home-any-wrong-black-tshirt,6,3,1,41,4,
2,HOME,header-login-link,1,1,,,,
2,HOME,header-signup-link,2,,2,2,,
2,HOME,header-star-icon,39,31,10,64,30,39
2,HOME,header-cart-icon,27,1,21,50,25,
2,HOME,header-seach-field,,,,3,,
2,HOME,nav-new-collections-link,,,,4,,1
2,HOME,nav-tshirts-link,10,7,6,53,6,25
2,HOME,header-discounts-link,,,,1,,
2,HOME,ad-banner,1,,,4,1,1
2,HOME,home-any-wrong-black-tshirt,1,,1,31,2,
3,HOME,header-login-link,30,24,,38,20,37
3,HOME,header-signup-link,30,1,29,34,24,34
3,HOME,header-star-icon,,,,2,1,
3,HOME,header-cart-icon,12,4,7,16,5,
3,HOME,header-seach-field,3,,1,1,,
3,HOME,nav-tshirts-link,,,,7,1,
3,HOME,ad-banner,4,1,1,8,2,
3,HOME,home-any-wrong-black-tshirt,,,,3,,
3,HOME,home-footer-about-us,102,9,2,138,18,3
3,HOME,home-contact-us,2,,,20,,
1,TSHIRTS,header-search-field,5,2,1,4,,
1,TSHIRTS,nav-new-collections-link,1,,1,6,1,
1,TSHIRTS,nav-tshirts-link,10,2,,43,8,1
1,TSHIRTS,nav-hobbies-link,,,,1,,
1,TSHIRTS,nav-shoes-link,,,,2,,
1,TSHIRTS,nav-accessories-link,1,,,2,,
1,TSHIRTS,header-discounts-link,,,,23,,
1,TSHIRTS,ad-banner,9,2,,44,4,
1,TSHIRTS,tshirts-sort-link,26,11,,130,6,
1,TSHIRTS,tshirts-color-filter-link,31,18,,33,12,
1,TSHIRTS,tshirts-black-color-picker,28,,,30,,
1,TSHIRTS,tshirts-size-filter-link,2,,,11,,
1,TSHIRTS,tshirts-tshirt-nosort-nofilter,4,,4,14,,13
1,TSHIRTS,tshirts-tshirt-onlyfilter,8,,8,30,,24
1,TSHIRTS,tshirts-tshirt-onlysort,5,,5,7,,
1,TSHIRTS,tshirts-tshirt-sort-filter,23,,19,7,,
