,task,screen,nextScreen,interactive,nonInteractive,diff,sum
12,1,ACCESSORIES,SHOES,1,0,1,1
11,1,ACCESSORIES,TSHIRTS,1,0,1,1
40,1,HOME,SALES,1,0,1,1
39,1,HOME,SEARCH-POPUP,3,0,3,3
38,1,HOME,TSHIRT-PLACEHOLDER,7,0,7,7
37,1,HOME,TSHIRTS,36,42,6,78
24,1,HOODIES,SHOES,1,0,1,1
36,1,NEW,HOODIES,1,0,1,1
35,1,NEW,TSHIRT-PLACEHOLDER,1,0,1,1
28,1,SALES,SALES-2,2,0,2,2
30,1,SALES,SEARCH-POPUP,1,0,1,1
29,1,SALES,TSHIRT-PLACEHOLDER,3,0,3,3
27,1,SALES,TSHIRTS,1,0,1,1
10,1,SALES-2,SALES,1,0,1,1
9,1,SALES-2,TSHIRT,1,0,1,1
8,1,SALES-2,TSHIRTS,1,0,1,1
34,1,SEARCH,NEW,1,0,1,1
33,1,SEARCH,SEARCH-POPUP,5,0,5,5
32,1,SEARCH,TSHIRT-PLACEHOLDER,4,0,4,4
31,1,SEARCH,TSHIRTS,2,0,2,2
23,1,SEARCH-POPUP,HOME,1,0,1,1
22,1,SEARCH-POPUP,SEARCH,7,0,7,7
21,1,SEARCH-POPUP,TSHIRT-PLACEHOLDER,11,0,11,11
25,1,SHOES,ACCESSORIES,1,0,1,1
26,1,SHOES,TSHIRT-PLACEHOLDER,1,0,1,1
19,1,TSHIRT,SALES-2,1,0,1,1
20,1,TSHIRT,TSHIRT,67,69,2,136
18,1,TSHIRT,TSHIRTS,0,4,4,4
17,1,TSHIRT-PLACEHOLDER,HOME,6,0,6,6
15,1,TSHIRT-PLACEHOLDER,SALES,3,0,3,3
16,1,TSHIRT-PLACEHOLDER,SEARCH,5,0,5,5
14,1,TSHIRT-PLACEHOLDER,SEARCH-POPUP,5,0,5,5
13,1,TSHIRT-PLACEHOLDER,TSHIRTS,24,0,24,24
1,1,TSHIRTS,ACCESSORIES,1,0,1,1
7,1,TSHIRTS,HOME,0,2,2,2
6,1,TSHIRTS,NEW,1,0,1,1
5,1,TSHIRTS,SALES,2,0,2,2
4,1,TSHIRTS,SEARCH-POPUP,5,0,5,5
3,1,TSHIRTS,TSHIRT,36,41,5,77
2,1,TSHIRTS,TSHIRT-PLACEHOLDER,18,0,18,18
0,1,TSHIRTS,TSHIRTS,24,0,24,24
76,2,BILLING,BILLING,6,4,2,10
77,2,BILLING,PAYMENT,31,25,6,56
69,2,CART,BILLING,28,25,3,53
68,2,CART,CART,44,84,40,128
71,2,CART,LOGIN,18,0,18,18
66,2,CART,PROFILE/OVERVIEW,1,0,1,1
72,2,CART,REGISTER,12,26,14,38
67,2,CART,SALES-2,1,0,1,1
70,2,CART,TSHIRT,1,0,1,1
64,2,CART,TSHIRTS,6,0,6,6
65,2,CART,WISHLIST,24,0,24,24
98,2,HOME,CART,23,0,23,23
100,2,HOME,LOGIN,2,0,2,2
96,2,HOME,PROFILE/OVERVIEW,2,0,2,2
97,2,HOME,SALES-2,1,0,1,1
