,respondent,variant,age,gender,education,income,web,stores,time,umux1,umux2,umux3,umux4,clickability,hotspotOptions,hotspotHelp,spamClicks,note,att1,att2
0,2,interactive,18 - 27,Man,Undergraduate degree,"£0 - £9,999",For a significant part of the day,Daily,00:08:03,5,3,5,5,"I think so, just need a few prompts like when adding to basket, it should say its been added to basket.",,,,"Accidentally mis-read the question 2 after the blain black t-shirt, meant to be I found it easy to navigate!",Salad,30
1,3,interactive,18 - 27,Man,Graduate degree,"£20,000 - £29,999",For a significant part of the day,Daily,00:05:36,5,6,5,6,Yes,,,,Did not answer,Salad,30
2,4,interactive,18 - 27,Man,Undergraduate degree,"£50,000 - £74,999",For a significant part of the day,Several times a week,00:09:02,6,2,6,5,Yes.,,,,"Only having colour images instead of text or tooltips for filtering on colours makes it less accessible for some. Also, wishlists should not have been allowed before account creation / log in.",Salad,30
3,5,interactive,18 - 27,Man,Graduate degree,"£40,000 - £49,999",For a significant part of the day,Once a week,00:09:00,4,3,4,4,Nope. It did not allow me to buy and confirm. It also did not allow me to check the return policy. ,,,,"Nope, Thanks!",Salad,30
4,6,interactive,18 - 27,Man,Undergraduate degree,"£0 - £9,999",Few times a day,Once a month,00:05:07,4,3,5,4,Yep it did.,,,,Did not answer,Salad,30
5,7,interactive,18 - 27,Man,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a week,00:09:50,5,3,5,3,some items I was not able to click on,,,,Did not answer,Salad,30
6,8,interactive,18 - 27,Man,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Daily,00:05:48,7,1,1,1,Yes,,,,No,Salad,30
8,13,interactive,18 - 27,Woman,Undergraduate degree,"£50,000 - £74,999",For a significant part of the day,Several times a week,00:08:11,5,2,5,2,yes! but i dint realise i actually need to copy the order number thought it would be auto populated ,,,,Did not answer,Salad,30
9,14,interactive,18 - 27,Woman,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a month,00:07:39,5,5,3,5,"No, I thought I'd be able to click the returns page on the last task ",,,,Did not answer,Salad,30
10,17,interactive,18 - 27,Woman,Undergraduate degree,"£10,000 - £19,999",For a significant part of the day,Several times a week,00:05:23,6,2,6,3,Yes,,,,"I expected something to pop up when I added the item to cart, but otherwise the website worked as I'd expect it to.",Salad,30
12,19,interactive,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Daily,00:06:38,3,5,2,4,"no, returns info wasn't clear at bottom of site, not clickable ",,,,wasn't clear on how to pay for the item,Salad,30
13,20,interactive,18 - 27,Woman,Graduate degree,"£20,000 - £29,999",Few times a day,Once a week,00:07:15,3,5,4,6,yes,,,,Did not answer,Salad,30
14,21,interactive,18 - 27,Woman,Secondary education,"£10,000 - £19,999",For a significant part of the day,Several times a month,00:07:06,7,1,7,1,"Yes, it did.",,,,Did not answer,Salad,30
15,23,interactive,18 - 27,Woman,High school diploma,"£10,000 - £19,999",For a significant part of the day,Several times a week,00:06:34,6,1,7,1,Yes,,,,No,Salad,30
16,26,interactive,28 - 37,Man,Technical/community college,"£0 - £9,999",For a significant part of the day,Several times a week,00:09:05,5,6,3,4,Yes,,,,I think I covered everything in my previous messages. It seems like extra steps are being added for no reason,Salad,30
17,27,interactive,28 - 37,Man,Technical/community college,"£30,000 - £39,999",For a significant part of the day,Daily,00:12:16,6,2,6,2,Yes everything worked well,,,,"When i looked at my orders, i expected that when i clicked on the t-shirt a new page would appear giving my information about that order, and that is where i expected to be able to return it",Salad,30
19,34,interactive,28 - 37,Woman,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Daily,00:05:21,6,3,5,3,Yes,,,,Did not answer,Salad,30
21,37,interactive,28 - 37,Woman,Technical/community college,"£20,000 - £29,999",Few times a day,Once a week,00:08:28,6,2,7,2,Yes it did,,,,Did not answer,Salad,30
22,38,interactive,38 - 47,Woman,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Once a week,00:11:27,4,4,5,3,Yes it did,,,,Did not answer,Salad,30
23,40,interactive,38 - 47,Man,Graduate degree,"£40,000 - £49,999",Few times a day,Several times a week,00:09:00,2,4,3,5,No - certain links were not active which restricted how i used the site,,,,Did not answer,Salad,30
24,41,interactive,48 - 57,Woman,Technical/community college,"£0 - £9,999",For a significant part of the day,Daily,00:11:42,2,6,4,4,I could click on everything I expected to be clickable but it still didn't help me complete the tasks,,,,Did not answer,Salad,30
25,43,interactive,38 - 47,Woman,Graduate degree,"£30,000 - £39,999",For a significant part of the day,Once a week,00:05:01,6,1,6,2,"Yes, it did",,,,Did not answer,Salad,30
26,44,interactive,48 - 57,Man,Graduate degree,"£75,000 - £100,000",For a significant part of the day,Several times a week,00:07:29,5,4,5,4,"Not totally, I expected things like shipping to be clickable down the bottom.",,,,No.,Salad,30
28,53,interactive,38 - 47,Man,High school diploma,"£40,000 - £49,999",For a significant part of the day,Several times a week,00:04:32,3,5,3,5,no. The return policy is not clickable,,,,Did not answer,Salad,30
29,54,interactive,28 - 37,Woman,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Several times a week,00:08:44,3,3,4,4,I think I would've wanted to click on the returns link in the footer to start the returns process - it didn't click with me to log in first. ,,,,"I found the return process to be a bit clumsy, I don't like how I had to copy and paste the order number in. The ecom experiences I've had allowed me to select from recent orders instead",Salad,30
30,55,interactive,48 - 57,Woman,Doctoral degree,No income,Few times a day,Once a week,00:06:51,5,5,5,4,"I was unable to click 'return policy' links, or to proceed to checkout without logging in, which I didn't think would be necessary for the study.",,,,Did not answer,Salad,30
31,56,interactive,38 - 47,Man,High school diploma,"£50,000 - £74,999",For a significant part of the day,Several times a week,00:08:58,4,3,4,3,The only issue I had was the shopping cart icon in my wish list page. I am not sure if that actually added the item to my cart as it wasn't clear with the response.,,,,This UXtweak site is pretty awesome. I may look at using it myself :),Salad,30
33,63,interactive,28 - 37,Woman,Graduate degree,"£30,000 - £39,999",Few times a day,Once a week,00:11:34,5,6,3,6,"No. I wanted to check the Returns Policy to see how to do the return, and I couldn't. ",,,,"Overall, not the best shopping online experience. ",Salad,30
34,67,interactive,28 - 37,Woman,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Several times a week,00:07:05,6,1,6,2,"I noticed that not everything is clickable, but all the needed options were working fine",,,,Did not answer,Salad,30
