,variant,respondent,task,taskText,time,rawPath,ease,lostness,note,success,issues
0,interactive,2,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,51.0,BEGIN-1 > HOME > TSHIRTS > TSHIRTS > TSHIRT > TSHIRT > TSHIRT,7,6,,1,
1,interactive,2,2,Purchase the cheapest plain black T-shirt that you previously added to your wishlist.,102.0,BEGIN-2 > HOME : [star-icon] > WISHLIST : [Pexels Photo by Anna Nekrashevich] > TSHIRT : [cart-icon] > CART > CART : [Sign up] > REGISTER > HOME > CART > WISHLIST > TSHIRTS > TSHIRTS > TSHIRT > CART > BILLING > BILLING > PAYMENT > SUMMARY > THANKS,3,2,"it doesn't say when the added to basket, also having to create an account deletes the basket and Wishlist, and having to create an account to purchase an item.",1,"cart-confirmation, cart-removed, sign-up-need"
2,interactive,2,3,"You’ve received the package with the T-shirt you had ordered. While you have not opened the packaging yet, you’ve decided you would like to send it back. Request this via the store site.",57.0,BEGIN-3 > HOME : [BANNER_IMAGE] > SALES-2 : [SEARCH] > SEARCH-POPUP : [ Action outside hotspots ] > SALES-2 : [Login] > LOGIN > HOME > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [ITEM] > TSHIRT > PROFILE/OVERVIEW : [FAQ] > PROFILE/REFUNDS : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS : [Previous purchases] > PROFILE/PURCHASES : [ Action outside hotspots ] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS,7,2,,1,
3,interactive,3,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,40.0,BEGIN-1 > HOME > TSHIRTS > TSHIRTS > TSHIRT > TSHIRT > TSHIRT,7,2,,1,
4,interactive,3,2,Purchase the cheapest plain black T-shirt that you previously added to your wishlist.,86.0,BEGIN-2 > HOME : [star-icon] > WISHLIST : [Pexels Photo by Anna Nekrashevich] > TSHIRT : [cart-icon] > CART > CART : [Login] > LOGIN > HOME > CART > WISHLIST > TSHIRTS > TSHIRTS > TSHIRT > CART > BILLING > PAYMENT > SUMMARY > THANKS,3,5,,1,
5,interactive,3,3,"You’ve received the package with the T-shirt you had ordered. While you have not opened the packaging yet, you’ve decided you would like to send it back. Request this via the store site.",59.0,BEGIN-3 > HOME : [Login] > LOGIN > HOME > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [ITEM] > TSHIRT > PROFILE/OVERVIEW : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS : [Previous purchases] > PROFILE/PURCHASES : [ Action outside hotspots ] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS : [ITEM] > TSHIRT,3,4,,1,
6,interactive,4,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,43.0,BEGIN-1 > HOME > TSHIRTS > TSHIRTS > TSHIRT > TSHIRT > TSHIRT,7,2,No tooltips were available on hover. As someone who is colourblind this made choosing a colour slightly more difficult.,1,no-tooltips
7,interactive,4,2,Purchase the cheapest plain black T-shirt that you previously added to your wishlist.,80.0,BEGIN-2 > HOME : [star-icon] > WISHLIST : [cart-icon] > CART > CART > CART : [Sign up] > REGISTER > HOME > WISHLIST > CART > TSHIRTS > TSHIRTS > TSHIRT > TSHIRT > WISHLIST > CART > BILLING > PAYMENT > SUMMARY > THANKS,3,5,I had to create an account which meant I lost the item in my wishlist,1,"sign-up-need, cart-removed"
8,interactive,4,3,"You’ve received the package with the T-shirt you had ordered. While you have not opened the packaging yet, you’ve decided you would like to send it back. Request this via the store site.",41.0,BEGIN-3 > HOME : [Login] > LOGIN > HOME > PROFILE/OVERVIEW : [FAQ] > PROFILE/REFUNDS : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS : [Overview] > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [ Action outside hotspots ] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS,6,2,,1,
9,interactive,5,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,78.0,BEGIN-1 > HOME > TSHIRTS : [SEARCH] > SEARCH-POPUP : [ITEM] > TSHIRT-PLACEHOLDER > TSHIRTS > TSHIRT > TSHIRT,7,2,,1,
10,interactive,5,2,Purchase the cheapest plain black T-shirt that you previously added to your wishlist.,44.0,BEGIN-2 > HOME : [star-icon] > WISHLIST : [Pexels Photo by Anna Nekrashevich] > TSHIRT,5,2,It did nothing after I pressed buy.,0,cart-confirmation
11,interactive,5,3,"You’ve received the package with the T-shirt you had ordered. While you have not opened the packaging yet, you’ve decided you would like to send it back. Request this via the store site.",124.0,BEGIN-3 > HOME : [cart-icon] > CART : [star-icon] > WISHLIST : [Sign up] > REGISTER : [Login] > LOGIN > ACCESSORIES > SHOES > TSHIRTS > NEW > ACCESSORIES > SHOES : [Login] > LOGIN : [star-icon] > WISHLIST : [cart-icon] > CART > ACCESSORIES > SHOES : [OUR DISCOUNTS.] > SALES,2,6,I just didn't know where to press. It was confusing since it didn't work,0,couldnt-proceed
12,interactive,6,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,47.0,BEGIN-1 > HOME > TSHIRTS > TSHIRT > TSHIRT > TSHIRT,4,4,,1,
13,interactive,6,2,Purchase the cheapest plain black T-shirt that you previously added to your wishlist.,69.0,BEGIN-2 > HOME : [star-icon] > WISHLIST : [Pexels Photo by Anna Nekrashevich] > TSHIRT : [cart-icon] > CART > CART : [Login] > LOGIN > HOME > CART > TSHIRTS > TSHIRT > CART > BILLING > PAYMENT > SUMMARY > THANKS,4,4,,1,
14,interactive,6,3,"You’ve received the package with the T-shirt you had ordered. While you have not opened the packaging yet, you’ve decided you would like to send it back. Request this via the store site.",41.0,BEGIN-3 > HOME : [Login] > LOGIN > HOME > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [ITEM] > TSHIRT > PROFILE/OVERVIEW : [FAQ] > PROFILE/REFUNDS : [ Action outside hotspots ] > PROFILE/REFUNDS : [FAQ] > PROFILE/RETURS : [Previous purchases] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS : [Previous purchases] > PROFILE/PURCHASES : [ Action outside hotspots ] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS,4,4,,1,
15,interactive,7,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,93.0,BEGIN-1 > HOME > TSHIRT-PLACEHOLDER > HOME > TSHIRT-PLACEHOLDER > HOME > TSHIRT-PLACEHOLDER > HOME > TSHIRT-PLACEHOLDER > HOME > TSHIRTS > TSHIRT > TSHIRT > TSHIRT,6,2,,1,
16,interactive,7,2,Purchase the cheapest plain black T-shirt that you previously added to your wishlist.,85.0,BEGIN-2 > HOME > TSHIRTS > TSHIRT : [star-icon] > WISHLIST : [Pexels Photo by Anna Nekrashevich] > TSHIRT : [star-icon] > WISHLIST : [Pexels Photo by Anna Nekrashevich] > TSHIRT,2,2,it will not let me make the purchase ,0,couldnt-proceed
17,interactive,7,3,"You’ve received the package with the T-shirt you had ordered. While you have not opened the packaging yet, you’ve decided you would like to send it back. Request this via the store site.",154.0,BEGIN-3 > HOME : [cart-icon] > CART : [star-icon] > WISHLIST > TSHIRTS > TSHIRT-PLACEHOLDER > TSHIRTS > TSHIRT > ACCESSORIES > SHOES > HOODIES > TSHIRTS > NEW : [PIXEL APPAREL] > HOME : [SEARCH] > SEARCH-POPUP : [ Action outside hotspots ] > HOME : [Login] > LOGIN > HOME > CART > WISHLIST > ACCESSORIES > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [ITEM] > TSHIRT > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS : [ Action outside hotspots ] > PROFILE/RETURS : [Previous purchases] > PROFILE/PURCHASES : [FAQ] > PROFILE/REFUNDS : [FAQ] > PROFILE/RETURS : [FAQ] > PROFILE/FAQ : [FAQ] > PROFILE/REFUNDS : [Previous purchases] > PROFILE/PURCHASES : [ Action outside hotspots ] > PROFILE/PURCHASES : [Pexels Photo by Anna Nekrashevich] > TSHIRT > PROFILE/OVERVIEW : [ Action outside hotspots ] > PROFILE/METHODS : [ Action outside hotspots ] > PROFILE/ADDRESSES : [Overview] > PROFILE/OVERVIEW : [Previous purchases] > PROFILE/PURCHASES : [ Action outside hotspots ] > PROFILE/PURCHASES : [FAQ] > PROFILE/RETURS > POPUP-COMPLAINT > PROFILE/RETURS,4,3,,1,
18,interactive,8,1,You’re browsing for an inexpensive T-shirt that you could come back to buy later. Choose the cheapest plain black T-shirt that you can find in the store and add it to your wish list.,48.0,BEGIN-1 > HOME > TSHIRTS > TSHIRTS > TSHIRT > TSHIRT > TSHIRT,7,1,NA ,1,ok
