,respondent,variant,age,gender,education,income,web,stores,time,clickability,hotspotOptions,hotspotHelp,spamClicks,note,att1,att2,umux,spamCount,helpOccurences
0,2,interactive,18 - 27,Man,Undergraduate degree,"£0 - £9,999",For a significant part of the day,Daily,8.05,"I think so, just need a few prompts like when adding to basket, it should say its been added to basket.",,,,"Accidentally mis-read the question 2 after the blain black t-shirt, meant to be I found it easy to navigate!",Salad,30,58.33,,
1,3,interactive,18 - 27,Man,Graduate degree,"£20,000 - £29,999",For a significant part of the day,Daily,5.6,Yes,,,,Did not answer,Salad,30,41.67,,
2,4,interactive,18 - 27,Man,Undergraduate degree,"£50,000 - £74,999",For a significant part of the day,Several times a week,9.03,Yes.,,,,"Only having colour images instead of text or tooltips for filtering on colours makes it less accessible for some. Also, wishlists should not have been allowed before account creation / log in.",Salad,30,70.83,,
3,5,interactive,18 - 27,Man,Graduate degree,"£40,000 - £49,999",For a significant part of the day,Once a week,9.0,Nope. It did not allow me to buy and confirm. It also did not allow me to check the return policy. ,,,,"Nope, Thanks!",Salad,30,54.17,,
4,6,interactive,18 - 27,Man,Undergraduate degree,"£0 - £9,999",Few times a day,Once a month,5.12,Yep it did.,,,,Did not answer,Salad,30,58.33,,
5,7,interactive,18 - 27,Man,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a week,9.83,some items I was not able to click on,,,,Did not answer,Salad,30,66.67,,
6,8,interactive,18 - 27,Man,Undergraduate degree,"£40,000 - £49,999",For a significant part of the day,Daily,5.8,Yes,,,,No,Salad,30,75.0,,
8,13,interactive,18 - 27,Woman,Undergraduate degree,"£50,000 - £74,999",For a significant part of the day,Several times a week,8.18,yes! but i dint realise i actually need to copy the order number thought it would be auto populated ,,,,Did not answer,Salad,30,75.0,,
9,14,interactive,18 - 27,Woman,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a month,7.65,"No, I thought I'd be able to click the returns page on the last task ",,,,Did not answer,Salad,30,41.67,,
10,17,interactive,18 - 27,Woman,Undergraduate degree,"£10,000 - £19,999",For a significant part of the day,Several times a week,5.38,Yes,,,,"I expected something to pop up when I added the item to cart, but otherwise the website worked as I'd expect it to.",Salad,30,79.17,,
12,19,interactive,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Daily,6.63,"no, returns info wasn't clear at bottom of site, not clickable ",,,,wasn't clear on how to pay for the item,Salad,30,33.33,,
13,20,interactive,18 - 27,Woman,Graduate degree,"£20,000 - £29,999",Few times a day,Once a week,7.25,yes,,,,Did not answer,Salad,30,33.33,,
14,21,interactive,18 - 27,Woman,Secondary education,"£10,000 - £19,999",For a significant part of the day,Several times a month,7.1,"Yes, it did.",,,,Did not answer,Salad,30,100.0,,
